,date,active_median,active_05,active_25,active_75,active_95,infectious_median,infectious_05,infectious_25,infectious_75,infectious_95,symptoms_median,symptoms_05,symptoms_25,symptoms_75,symptoms_95,hospitalized_median,hospitalized_05,hospitalized_25,hospitalized_75,hospitalized_95,icu_median,icu_05,icu_25,icu_75,icu_95,dead_median,dead_05,dead_25,dead_75,dead_95,immune_median,immune_05,immune_25,immune_75,immune_95
0,2020-03-12,3452.0,2315.7,2896.0,3768.5,4229.95,1461.5,758.8000000000001,1055.0,1634.5,1945.9499999999998,554.0,507.15000000000003,535.25,565.5,593.65,11.0,5.0,9.0,13.0,23.64999999999999,2.0,1.0,1.25,3.0,5.0,1.0,1.0,1.0,1.0,1.0,535.5,439.6,506.25,617.0,753.3999999999999
1,2020-03-13,4039.0,2866.1000000000004,3546.5,4438.75,4974.199999999999,2185.0,1140.95,1557.5,2426.5,2895.0499999999997,687.0,637.35,663.25,699.25,766.5,13.5,5.45,10.25,15.5,28.0,2.5,1.0,2.0,4.0,5.549999999999997,1.0,1.0,1.0,1.0,1.0,789.0,641.5,722.25,910.75,1137.85
2,2020-03-14,4549.0,3355.5,4109.0,5052.75,5588.899999999998,2432.0,1354.95,1840.0,2672.5,3160.2999999999993,856.0,789.5999999999999,820.25,877.0,1003.1499999999999,13.5,7.45,11.25,18.5,28.549999999999997,3.0,1.0,2.0,4.75,6.549999999999997,1.0,1.0,1.0,1.0,1.0,952.5,774.3,867.25,1110.0,1368.0499999999997
3,2020-03-15,5107.0,3893.25,4710.75,5575.5,6288.299999999997,2702.5,1259.2,1927.25,3072.0,3604.25,1042.0,957.3,1004.25,1071.75,1281.1999999999998,14.5,7.9,12.0,19.5,29.0,3.0,1.4500000000000002,2.0,4.0,6.0,1.0,1.0,1.0,1.0,1.5499999999999972,1148.5,933.5,1038.5,1343.75,1655.7499999999995
4,2020-03-16,5726.0,4424.75,5288.0,6255.0,7167.099999999998,3014.0,1584.5,2170.5,3455.5,3975.7,1267.5,1146.4,1206.5,1319.5,1592.5,15.5,7.9,12.0,19.75,30.549999999999997,3.0,2.0,2.0,5.0,7.0,1.0,1.0,1.0,1.0,2.549999999999997,1403.5,1114.45,1257.5,1647.5,1991.9499999999994
5,2020-03-17,6246.0,4859.55,5715.0,6886.75,7805.399999999998,3221.5,1713.8000000000002,2442.5,3747.25,4305.4,1493.0,1364.55,1431.5,1599.25,1919.3,15.0,8.0,12.0,21.25,30.549999999999997,3.0,1.4500000000000002,2.0,5.0,7.0,1.0,1.0,1.0,1.75,3.0,1697.0,1354.35,1515.5,1961.75,2408.399999999999
6,2020-03-18,6780.5,5363.700000000001,6164.0,7466.25,8498.199999999997,3536.5,1999.3,2714.0,4124.75,4682.55,1749.0,1594.7,1690.0,1896.0,2260.65,14.0,8.0,12.0,19.5,31.549999999999997,3.0,1.0,2.0,5.0,7.0,1.0,1.0,1.0,2.0,3.549999999999997,2043.0,1615.1,1793.75,2344.0,2891.699999999999
7,2020-03-19,7336.5,5887.7,6683.75,8091.5,9227.599999999997,3704.0,2144.2,2904.5,4283.75,4926.85,2021.5,1842.85,1972.5,2219.0,2635.05,14.0,8.0,12.0,21.5,31.099999999999994,3.0,1.0,2.0,5.0,7.0,2.0,1.0,1.0,3.0,5.0,2441.5,1927.15,2114.75,2754.5,3448.8999999999987
8,2020-03-20,7930.5,6432.450000000001,7226.25,8712.0,9987.399999999996,3785.5,2184.3,3020.75,4500.0,5135.099999999999,2328.0,2100.5,2274.25,2559.0,3017.65,15.5,8.0,11.5,22.5,36.0,3.0,1.4500000000000002,2.0,5.0,7.549999999999997,2.0,1.0,1.0,3.0,5.549999999999997,2844.0,2302.05,2520.0,3152.0,4023.1499999999987
9,2020-03-21,8510.0,6892.15,7705.0,9216.5,10607.799999999996,3924.0,2223.4,3122.5,4677.25,5286.4,2638.0,2377.85,2573.75,2917.5,3406.1499999999996,18.0,7.45,12.25,25.75,39.0,4.0,1.4500000000000002,2.0,6.0,8.549999999999997,2.0,1.0,2.0,3.0,6.549999999999997,3289.5,2664.5,2981.25,3633.5,4653.749999999998
10,2020-03-22,9041.0,7332.1,8148.5,9730.5,11212.299999999996,4021.5,2319.4,3182.75,4846.25,5405.15,2976.0,2676.15,2878.75,3287.25,3799.45,20.0,9.9,16.0,28.0,43.099999999999994,4.5,2.0,3.0,7.0,9.0,3.0,1.0,2.0,4.75,7.099999999999994,3768.5,3046.75,3448.75,4195.0,5314.949999999999
11,2020-03-23,9544.0,7760.200000000001,8582.0,10204.0,11778.599999999997,4055.5,2418.45,3231.75,4880.5,5410.599999999999,3319.5,2955.35,3181.0,3648.25,4202.7,25.0,11.9,20.0,34.0,50.55,6.5,2.45,3.25,8.0,10.0,3.0,1.0,2.0,5.0,8.0,4285.0,3475.15,3934.0,4747.0,6049.549999999997
12,2020-03-24,9947.0,8194.9,9012.0,10667.75,12290.249999999996,4062.0,2370.05,3196.25,4847.0,5328.749999999999,3678.0,3242.95,3514.25,4057.75,4607.3,32.0,15.899999999999999,25.25,40.75,65.0,8.0,3.0,4.0,9.75,13.0,4.0,1.0,3.0,5.75,8.549999999999997,4834.5,3901.6,4460.0,5370.25,6772.5999999999985
13,2020-03-25,10316.0,8574.5,9430.5,11166.5,12769.349999999999,4085.0,2353.4,3190.0,4801.25,5254.899999999999,4041.0,3535.3,3844.5,4465.5,5064.5,37.5,21.450000000000003,33.25,47.75,75.55,8.5,3.45,5.0,11.75,16.0,4.0,1.0,3.0,6.75,9.549999999999997,5381.0,4347.9,4985.75,5985.0,7492.599999999997
14,2020-03-26,10747.0,8916.4,9794.0,11620.75,13199.499999999998,4062.0,2301.9,3029.75,4728.75,5164.8499999999985,4397.0,3834.75,4161.75,4907.0,5531.65,44.5,29.7,37.0,55.75,86.34999999999995,9.0,5.0,5.5,13.0,17.0,5.0,1.0,3.0,7.75,10.549999999999997,5894.0,4829.6,5509.5,6590.5,8270.099999999999
15,2020-03-27,11156.5,9254.3,10132.25,12054.5,13554.199999999997,4021.0,2267.25,2993.75,4532.5,5116.4,4720.0,4102.8,4475.5,5333.75,5967.049999999999,54.0,34.8,42.5,63.75,99.89999999999995,11.5,5.9,9.0,14.75,19.549999999999997,5.0,2.0,3.25,8.0,11.0,6403.5,5335.0,6053.25,7167.5,9015.399999999998
16,2020-03-28,11504.5,9550.2,10418.25,12420.75,13837.149999999998,3905.0,2207.8,2904.0,4370.0,5018.549999999999,5003.0,4369.9,4777.75,5709.25,6411.0,63.0,41.45,51.25,73.5,110.44999999999995,12.5,8.0,11.0,16.0,23.099999999999994,5.5,2.45,4.0,10.5,12.549999999999997,6938.5,5842.6,6595.75,7770.5,9779.549999999996
17,2020-03-29,11751.0,9781.45,10695.0,12749.5,14069.599999999999,3789.5,2209.45,2807.0,4240.75,4865.049999999999,5286.5,4623.8,5084.25,6068.25,6857.299999999999,71.0,46.45,59.0,81.75,120.34999999999995,14.0,9.45,11.25,17.75,26.64999999999999,7.0,3.0,5.0,11.0,13.549999999999997,7495.5,6360.0,7151.25,8352.0,10478.499999999996
18,2020-03-30,11961.0,9944.75,10902.5,12947.0,14250.65,3593.0,2160.3500000000004,2682.5,4100.5,4725.0,5574.5,4878.450000000001,5360.25,6416.75,7254.799999999999,77.5,53.35,64.0,94.75,133.04999999999995,16.0,11.0,13.0,19.0,28.099999999999994,8.5,4.45,5.0,11.75,14.099999999999994,8017.0,6878.0,7707.0,8892.25,11157.549999999996
19,2020-03-31,12058.0,10011.15,10981.0,13028.0,14264.399999999998,3381.5,2062.95,2527.0,3991.0,4595.95,5854.0,5103.35,5624.5,6741.5,7670.549999999999,84.5,60.449999999999996,68.5,100.0,141.34999999999997,17.0,12.45,16.0,21.0,29.64999999999999,9.5,5.0,6.25,13.0,15.0,8525.5,7388.35,8214.0,9466.75,11798.049999999996
20,2020-04-01,12103.5,10040.1,11087.25,13113.25,14256.149999999998,3236.0,2000.4499999999998,2387.75,3826.75,4407.049999999999,6157.5,5317.0,5868.5,7078.0,8072.149999999999,87.5,64.9,76.0,108.5,153.09999999999994,20.0,14.0,16.25,24.0,32.099999999999994,10.5,5.45,8.0,15.0,17.0,9026.0,7867.15,8715.0,10026.0,12400.999999999996
