date,infect.med,confirmed,confirmed.7d,ratio,ratio.7d
2020-02-24,NA,NA,NA,NA,NA
2020-02-25,NA,NA,NA,NA,NA
2020-02-26,NA,NA,NA,NA,NA
2020-02-27,NA,NA,NA,NA,NA
2020-02-28,NA,NA,NA,NA,NA
2020-02-29,NA,NA,NA,NA,NA
2020-03-01,NA,NA,NA,NA,NA
2020-03-02,NA,NA,NA,NA,NA
2020-03-03,NA,NA,NA,NA,NA
2020-03-04,NA,NA,NA,NA,NA
2020-03-05,NA,5,NA,NA,NA
2020-03-06,NA,4,NA,NA,NA
2020-03-07,NA,5,NA,NA,NA
2020-03-08,NA,5,NA,NA,NA
2020-03-09,NA,11,NA,NA,NA
2020-03-10,NA,17,NA,NA,NA
2020-03-11,NA,35,11.714285714285714,NA,NA
2020-03-12,1461.5,50,18.142857142857142,29.23,80.55511811023622
2020-03-13,2185,46,24.142857142857142,47.5,90.50295857988166
2020-03-14,2432,36,28.571428571428573,67.55555555555556,85.11999999999999
2020-03-15,2702.5,35,32.857142857142854,77.21428571428571,82.25000000000001
2020-03-16,3014,26,35,115.92307692307692,86.11428571428571
2020-03-17,3221.5,10,34,322.15,94.75
2020-03-18,3536.5,32,33.57142857142857,110.515625,105.34255319148937
2020-03-19,3704,23,29.714285714285715,161.04347826086956,124.65384615384615
2020-03-20,3785.5,28,27.142857142857142,135.19642857142858,139.46578947368423
2020-03-21,3924,52,29.428571428571427,75.46153846153847,133.33980582524273
2020-03-22,4021.5,21,27.428571428571427,191.5,146.6171875
2020-03-23,4055.5,36,28.857142857142858,112.65277777777777,140.5371287128713
2020-03-24,4062,48,34.285714285714285,84.625,118.47500000000001
2020-03-25,4085,47,36.42857142857143,86.91489361702128,112.13725490196077
2020-03-26,4062,61,41.857142857142854,66.59016393442623,97.0443686006826
2020-03-27,4021,52,45.285714285714285,77.32692307692308,88.79179810725552
2020-03-28,3905,47,44.57142857142857,83.08510638297872,87.61217948717949
2020-03-29,3789.5,24,45,157.89583333333334,84.21111111111111
2020-03-30,3593,48,46.714285714285715,74.85416666666667,76.91437308868501
2020-03-31,3381.5,37,45.142857142857146,91.39189189189189,74.90664556962025
